,cfips,year,pct_bb,pct_college,pct_foreign_born,pct_it_workers,median_hh_inc
0,1001,2019,76.6,14.5,2.1,1.3,55317.0
1,1003,2019,74.5,20.4,3.2,1.4,52562.0
2,1005,2019,57.2,7.6,2.7,0.5,33368.0
3,1007,2019,62.0,8.1,1.0,1.2,43404.0
4,1009,2019,65.8,8.7,4.5,1.3,47412.0
5,1011,2019,49.4,6.6,1.8,0.4,29655.0
6,1013,2019,58.2,9.6,1.0,1.1,36326.0
7,1015,2019,71.0,10.2,2.6,1.4,43686.0
8,1017,2019,62.8,9.0,1.3,2.4,37342.0
9,1019,2019,67.5,6.6,0.7,1.4,40041.0
10,1021,2019,56.6,9.5,5.1,0.5,43501.0
11,1023,2019,52.3,7.9,0.4,1.8,32122.0
12,1025,2019,47.3,8.4,0.4,1.0,33827.0
13,1027,2019,66.0,5.9,1.9,1.1,37287.0
14,1029,2019,57.8,7.8,1.6,0.5,37396.0
15,1031,2019,75.3,14.7,3.7,1.2,49821.0
16,1033,2019,65.9,11.5,1.8,0.9,45477.0
17,1035,2019,40.7,5.2,0.8,2.8,30434.0
18,1037,2019,58.2,7.5,0.6,1.4,34792.0
19,1039,2019,64.7,10.4,0.8,1.7,39467.0
20,1041,2019,57.1,11.9,2.1,2.4,38937.0
21,1043,2019,65.2,9.5,2.8,1.1,40997.0
22,1045,2019,69.8,11.1,2.9,0.9,44711.0
23,1047,2019,57.7,8.1,1.4,0.5,30065.0
24,1049,2019,61.0,7.6,7.5,0.7,38842.0
25,1051,2019,78.2,14.4,1.8,1.5,54981.0
26,1053,2019,54.9,7.6,0.8,0.9,35026.0
27,1055,2019,68.4,10.4,2.9,2.8,42064.0
28,1057,2019,64.1,10.1,0.7,2.7,36541.0
29,1059,2019,60.3,8.3,9.7,2.8,39501.0
30,1061,2019,64.3,7.5,1.5,0.7,39293.0
31,1063,2019,42.0,8.3,0.0,0.6,20954.0
32,1065,2019,50.7,9.9,1.1,0.0,34679.0
33,1067,2019,68.3,9.0,1.3,1.5,45569.0
34,1069,2019,67.6,13.2,2.3,1.6,42803.0
35,1071,2019,62.7,8.6,1.9,1.0,39281.0
36,1073,2019,73.0,19.4,4.0,2.7,49321.0
37,1075,2019,58.3,8.9,0.6,2.8,36016.0
38,1077,2019,65.4,13.8,2.0,1.6,44888.0
39,1079,2019,55.7,7.2,0.7,0.9,43779.0
40,1081,2019,78.2,19.8,5.5,1.3,47564.0
41,1083,2019,72.5,16.5,3.9,1.3,52831.0
42,1085,2019,47.1,9.5,0.3,2.6,29785.0
43,1087,2019,52.2,10.8,1.2,0.4,32308.0
44,1089,2019,81.3,25.2,5.5,2.6,61318.0
45,1091,2019,51.2,9.7,0.5,1.2,32255.0
46,1093,2019,65.8,8.3,1.6,0.3,35719.0
47,1095,2019,70.2,11.6,7.3,1.4,41104.0
48,1097,2019,69.4,15.2,3.2,1.7,45802.0
49,1099,2019,38.9,7.3,0.5,0.9,26036.0
50,1101,2019,75.6,19.4,4.6,1.4,46545.0
51,1103,2019,70.1,14.4,4.3,1.2,47529.0
52,1105,2019,39.8,8.7,0.6,1.3,22973.0
53,1107,2019,60.9,8.8,2.7,0.1,36220.0
54,1109,2019,60.2,14.9,3.4,1.4,35684.0
