,county,state,year,population
0,Autauga County,Alabama,2019,55390.0
1,Baldwin County,Alabama,2019,212521.0
2,Barbour County,Alabama,2019,25157.0
3,Bibb County,Alabama,2019,22550.0
4,Blount County,Alabama,2019,57787.0
5,Bullock County,Alabama,2019,10176.0
6,Butler County,Alabama,2019,19888.0
7,Calhoun County,Alabama,2019,114710.0
8,Chambers County,Alabama,2019,33707.0
9,Cherokee County,Alabama,2019,25805.0
10,Chilton County,Alabama,2019,44120.0
11,Choctaw County,Alabama,2019,12925.0
12,Clarke County,Alabama,2019,24063.0
13,Clay County,Alabama,2019,13350.0
14,Cleburne County,Alabama,2019,14899.0
15,Coffee County,Alabama,2019,51853.0
16,Colbert County,Alabama,2019,54695.0
17,Conecuh County,Alabama,2019,12431.0
18,Coosa County,Alabama,2019,10724.0
19,Covington County,Alabama,2019,37062.0
20,Crenshaw County,Alabama,2019,13858.0
21,Cullman County,Alabama,2019,82867.0
22,Dale County,Alabama,2019,49342.0
23,Dallas County,Alabama,2019,39238.0
24,DeKalb County,Alabama,2019,71437.0
25,Elmore County,Alabama,2019,81422.0
26,Escambia County,Alabama,2019,36993.0
27,Etowah County,Alabama,2019,103007.0
28,Fayette County,Alabama,2019,16466.0
29,Franklin County,Alabama,2019,31542.0
30,Geneva County,Alabama,2019,26385.0
31,Greene County,Alabama,2019,8310.0
32,Hale County,Alabama,2019,14801.0
33,Henry County,Alabama,2019,17115.0
34,Houston County,Alabama,2019,104378.0
35,Jackson County,Alabama,2019,51828.0
36,Jefferson County,Alabama,2019,659599.0
37,Lamar County,Alabama,2019,13882.0
38,Lauderdale County,Alabama,2019,92564.0
39,Lawrence County,Alabama,2019,33063.0
40,Lee County,Alabama,2019,161440.0
41,Limestone County,Alabama,2019,94130.0
42,Lowndes County,Alabama,2019,10097.0
43,Macon County,Alabama,2019,18793.0
44,Madison County,Alabama,2019,361762.0
45,Marengo County,Alabama,2019,19396.0
46,Marion County,Alabama,2019,29792.0
47,Marshall County,Alabama,2019,95572.0
48,Mobile County,Alabama,2019,414045.0
49,Monroe County,Alabama,2019,21290.0
50,Montgomery County,Alabama,2019,227265.0
51,Morgan County,Alabama,2019,118918.0
52,Perry County,Alabama,2019,9302.0
53,Pickens County,Alabama,2019,20204.0
54,Pike County,Alabama,2019,33349.0
55,Randolph County,Alabama,2019,22687.0
56,Russell County,Alabama,2019,56985.0
57,St Clair County,Alabama,2019,87926.0
58,Shelby County,Alabama,2019,213633.0
59,Sumter County,Alabama,2019,12749.0
60,Talladega County,Alabama,2019,80142.0
61,Tallapoosa County,Alabama,2019,40613.0
62,Tuscaloosa County,Alabama,2019,207618.0
63,Walker County,Alabama,2019,63895.0
64,Washington County,Alabama,2019,16522.0
65,Wilcox County,Alabama,2019,10691.0
66,Winston County,Alabama,2019,23760.0
67,Aleutians East Borough,Alaska,2019,3455.0
68,Aleutians West Census Area,Alaska,2019,5729.0
69,Anchorage Municipality,Alaska,2019,294338.0
70,Bethel Census Area,Alaska,2019,18090.0
71,Bristol Bay Borough,Alaska,2019,869.0
72,Denali Borough,Alaska,2019,2084.0
73,Dillingham Census Area,Alaska,2019,4940.0
74,Fairbanks North Star Borough,Alaska,2019,99675.0
75,Haines Borough,Alaska,2019,2524.0
76,Hoonah-Angoon Census Area,Alaska,2019,2139.0
77,Juneau City and Borough,Alaska,2019,32098.0
78,Kenai Peninsula Borough,Alaska,2019,58558.0
79,Ketchikan Gateway Borough,Alaska,2019,13834.0
80,Kodiak Island Borough,Alaska,2019,13512.0
81,Kusilvak Census Area,Alaska,2019,8236.0
82,Lake and Peninsula Borough,Alaska,2019,1612.0
83,Matanuska-Susitna Borough,Alaska,2019,106232.0
84,Nome Census Area,Alaska,2019,10025.0
85,North Slope Borough,Alaska,2019,9795.0
86,Northwest Arctic Borough,Alaska,2019,7795.0
87,Petersburg Borough,Alaska,2019,3264.0
88,Prince of Wales-Hyder Census Area,Alaska,2019,6444.0
89,Sitka City and Borough,Alaska,2019,8641.0
90,Skagway Municipality,Alaska,2019,1167.0
91,Southeast Fairbanks Census Area,Alaska,2019,6892.0
92,Valdez-Cordova Census Area,Alaska,2019,9220.0
93,Wrangell City and Borough,Alaska,2019,2521.0
94,Yakutat City and Borough,Alaska,2019,602.0
95,Yukon-Koyukuk Census Area,Alaska,2019,5409.0
96,Apache County,Arizona,2019,71545.0
97,Cochise County,Arizona,2019,124864.0
98,Coconino County,Arizona,2019,141001.0
99,Gila County,Arizona,2019,53578.0
100,Graham County,Arizona,2019,37481.0
101,Greenlee County,Arizona,2019,9443.0
102,La Paz County,Arizona,2019,20706.0
103,Maricopa County,Arizona,2019,4327184.0
104,Mohave County,Arizona,2019,207017.0
105,Navajo County,Arizona,2019,109079.0
106,Pima County,Arizona,2019,1026391.0
107,Pinal County,Arizona,2019,431564.0
108,Santa Cruz County,Arizona,2019,46566.0
109,Yavapai County,Arizona,2019,228082.0
110,Yuma County,Arizona,2019,209507.0
111,Arkansas County,Arkansas,2019,17872.0
112,Ashley County,Arkansas,2019,20311.0
113,Baxter County,Arkansas,2019,41308.0
114,Benton County,Arkansas,2019,266585.0
115,Boone County,Arkansas,2019,37459.0
116,Bradley County,Arkansas,2019,10813.0
117,Calhoun County,Arkansas,2019,5201.0
118,Carroll County,Arkansas,2019,27865.0
119,Chicot County,Arkansas,2019,10647.0
120,Clark County,Arkansas,2019,22184.0
121,Clay County,Arkansas,2019,14865.0
122,Cleburne County,Arkansas,2019,25059.0
123,Cleveland County,Arkansas,2019,8162.0
124,Columbia County,Arkansas,2019,23695.0
125,Conway County,Arkansas,2019,20810.0
126,Craighead County,Arkansas,2019,107188.0
127,Crawford County,Arkansas,2019,62894.0
128,Crittenden County,Arkansas,2019,48716.0
129,Cross County,Arkansas,2019,16792.0
130,Dallas County,Arkansas,2019,7307.0
131,Desha County,Arkansas,2019,11743.0
132,Drew County,Arkansas,2019,18370.0
133,Faulkner County,Arkansas,2019,123530.0
134,Franklin County,Arkansas,2019,17809.0
135,Fulton County,Arkansas,2019,12131.0
136,Garland County,Arkansas,2019,98327.0
137,Grant County,Arkansas,2019,18103.0
