year,pct_bb,pct_college,pct_foreign_born,pct_it_workers,median_hh_inc,cfips
2019,76.6,14.5,2.1,1.3,55317.0,1001
2019,74.5,20.4,3.2,1.4,52562.0,1003
2019,57.2,7.6,2.7,0.5,33368.0,1005
2019,62.0,8.1,1.0,1.2,43404.0,1007
2019,65.8,8.7,4.5,1.3,47412.0,1009
2019,49.4,6.6,1.8,0.4,29655.0,1011
2019,58.2,9.6,1.0,1.1,36326.0,1013
2019,71.0,10.2,2.6,1.4,43686.0,1015
2019,62.8,9.0,1.3,2.4,37342.0,1017
2019,67.5,6.6,0.7,1.4,40041.0,1019
2019,56.6,9.5,5.1,0.5,43501.0,1021
2019,52.3,7.9,0.4,1.8,32122.0,1023
2019,47.3,8.4,0.4,1.0,33827.0,1025
2019,66.0,5.9,1.9,1.1,37287.0,1027
2019,57.8,7.8,1.6,0.5,37396.0,1029
2019,75.3,14.7,3.7,1.2,49821.0,1031
2019,65.9,11.5,1.8,0.9,45477.0,1033
2019,40.7,5.2,0.8,2.8,30434.0,1035
2019,58.2,7.5,0.6,1.4,34792.0,1037
2019,64.7,10.4,0.8,1.7,39467.0,1039
2019,57.1,11.9,2.1,2.4,38937.0,1041
2019,65.2,9.5,2.8,1.1,40997.0,1043
2019,69.8,11.1,2.9,0.9,44711.0,1045
2019,57.7,8.1,1.4,0.5,30065.0,1047
2019,61.0,7.6,7.5,0.7,38842.0,1049
2019,78.2,14.4,1.8,1.5,54981.0,1051
2019,54.9,7.6,0.8,0.9,35026.0,1053
2019,68.4,10.4,2.9,2.8,42064.0,1055
2019,64.1,10.1,0.7,2.7,36541.0,1057
2019,60.3,8.3,9.7,2.8,39501.0,1059
2019,64.3,7.5,1.5,0.7,39293.0,1061
2019,42.0,8.3,0.0,0.6,20954.0,1063
2019,50.7,9.9,1.1,0.0,34679.0,1065
2019,68.3,9.0,1.3,1.5,45569.0,1067
2019,67.6,13.2,2.3,1.6,42803.0,1069
2019,62.7,8.6,1.9,1.0,39281.0,1071
2019,73.0,19.4,4.0,2.7,49321.0,1073
2019,58.3,8.9,0.6,2.8,36016.0,1075
2019,65.4,13.8,2.0,1.6,44888.0,1077
2019,55.7,7.2,0.7,0.9,43779.0,1079
2019,78.2,19.8,5.5,1.3,47564.0,1081
2019,72.5,16.5,3.9,1.3,52831.0,1083
2019,47.1,9.5,0.3,2.6,29785.0,1085
2019,52.2,10.8,1.2,0.4,32308.0,1087
2019,81.3,25.2,5.5,2.6,61318.0,1089
2019,51.2,9.7,0.5,1.2,32255.0,1091
2019,65.8,8.3,1.6,0.3,35719.0,1093
2019,70.2,11.6,7.3,1.4,41104.0,1095
2019,69.4,15.2,3.2,1.7,45802.0,1097
2019,38.9,7.3,0.5,0.9,26036.0,1099
2019,75.6,19.4,4.6,1.4,46545.0,1101
2019,70.1,14.4,4.3,1.2,47529.0,1103
2019,39.8,8.7,0.6,1.3,22973.0,1105
2019,60.9,8.8,2.7,0.1,36220.0,1107
2019,60.2,14.9,3.4,1.4,35684.0,1109
2019,64.8,9.1,1.5,1.3,39485.0,1111
2019,63.0,10.6,3.1,1.7,38988.0,1113
2019,72.3,10.6,1.7,1.6,53483.0,1115
2019,84.5,27.9,5.3,3.3,74063.0,1117
2019,50.4,10.6,2.2,1.5,21663.0,1119
2019,65.5,8.2,1.7,1.1,39219.0,1121
2019,67.9,12.1,1.4,0.8,42181.0,1123
2019,75.7,18.6,3.8,1.7,50513.0,1125
2019,62.5,6.7,1.4,0.4,38872.0,1127
2019,53.5,6.8,1.6,0.4,42185.0,1129
2019,41.6,8.0,0.0,1.7,27012.0,1131
2019,56.2,7.8,1.4,0.5,35362.0,1133
2019,68.2,7.7,36.2,0.1,66607.0,2013
2019,74.1,12.5,37.4,0.8,85192.0,2016
2019,87.4,22.0,10.5,2.8,82271.0,2020
2019,70.6,7.8,2.2,1.8,53853.0,2050
2019,81.3,15.2,2.8,5.4,79500.0,2060
2019,89.7,30.4,10.2,0.3,83295.0,2068
2019,72.2,9.9,2.1,0.9,58708.0,2070
2019,82.0,20.8,5.1,2.3,76250.0,2090
2019,77.2,21.6,6.6,1.7,70640.0,2100
2019,72.1,15.0,5.8,1.6,57900.0,2105
2019,87.8,26.1,8.6,3.0,90749.0,2110
2019,75.8,15.4,2.9,1.5,65279.0,2122
2019,81.8,16.1,7.9,3.0,67321.0,2130
2019,82.4,15.3,18.5,0.7,74167.0,2150
2019,58.4,3.0,1.4,1.7,36468.0,2158
2019,60.3,8.4,3.2,0.7,45208.0,2164
2019,85.2,13.7,3.4,3.1,74887.0,2170
2019,67.6,9.8,2.1,0.4,53821.0,2180
2019,67.9,10.9,5.1,0.5,77266.0,2185
2019,66.8,7.1,1.3,2.0,61533.0,2188
2019,75.9,19.7,9.3,1.5,63490.0,2195
2019,67.9,10.7,2.3,0.6,52114.0,2198
2019,80.4,19.6,8.0,1.1,70765.0,2220
2019,84.2,24.5,8.4,1.1,70673.0,2230
2019,74.9,10.0,10.6,2.8,63866.0,2240
2019,80.5,23.1,4.9,3.3,86019.0,2261
2019,74.4,12.9,4.4,2.7,56094.0,2275
2019,69.8,16.9,6.0,1.4,64583.0,2282
2019,43.7,7.4,1.2,1.1,37819.0,2290
2019,38.6,7.6,1.9,1.1,32360.0,4001
2019,76.2,14.8,11.2,1.3,47847.0,4003
2019,75.3,21.0,4.7,0.9,53523.0,4005
2019,61.6,11.7,4.0,0.8,41179.0,4007
2019,69.8,9.1,3.8,1.3,48173.0,4009
2019,75.7,9.6,3.5,0.1,56298.0,4011
2019,57.7,7.4,10.4,0.8,36479.0,4012
2019,81.7,20.0,14.8,2.1,58580.0,4013
2019,75.9,7.9,6.7,1.5,41567.0,4015
2019,59.5,9.4,2.8,1.6,38798.0,4017
2019,80.6,18.2,12.8,1.5,48676.0,4019
2019,77.3,11.9,9.6,1.6,52628.0,4021
2019,68.2,15.2,32.0,0.9,39630.0,4023
2019,78.2,14.7,6.4,1.7,48259.0,4025
2019,73.1,9.2,27.1,1.1,43253.0,4027
2019,60.1,9.8,1.2,0.9,38532.0,5001
2019,59.4,9.4,2.8,0.8,36407.0,5003
2019,68.7,12.4,2.2,2.4,40072.0,5005
2019,59.6,21.2,11.3,0.9,61271.0,5007
2019,74.1,10.5,0.7,2.7,40727.0,5009
2019,55.5,9.8,6.9,1.4,36310.0,5011
2019,53.3,8.1,0.8,3.1,37225.0,5013
2019,62.7,11.8,8.3,1.8,39686.0,5015
2019,56.3,9.4,2.7,0.1,32412.0,5017
2019,61.5,16.4,3.0,1.0,37144.0,5019
2019,59.6,6.8,0.8,0.6,32219.0,5021
2019,67.7,9.6,1.7,0.8,42312.0,5023
2019,52.9,11.2,1.6,0.3,44840.0,5025
2019,58.5,13.4,2.6,0.6,37072.0,5027
2019,54.1,10.3,1.8,1.4,39638.0,5029
2019,77.7,16.9,4.2,2.2,45672.0,5031
2019,68.0,10.0,4.1,1.5,43504.0,5033
2019,66.9,11.1,1.6,1.8,38558.0,5035
2019,62.2,7.8,0.3,0.2,41081.0,5037
2019,53.1,10.7,2.4,0.5,35794.0,5039
2019,46.1,9.0,3.4,1.0,27036.0,5041
2019,63.3,12.0,1.2,0.5,36092.0,5043
2019,74.5,18.6,3.1,3.0,50316.0,5045
2019,53.1,8.7,1.7,0.6,39472.0,5047
2019,60.4,7.8,1.0,0.0,36051.0,5049
2019,72.6,12.9,3.4,1.7,41672.0,5051
2019,68.7,12.7,1.2,1.9,49968.0,5053
2019,72.0,10.9,0.7,0.9,45566.0,5055
2019,61.0,8.5,5.3,0.5,38701.0,5057
2019,62.3,8.7,1.2,1.4,40626.0,5059
2019,60.8,11.4,5.2,2.0,34851.0,5061
2019,63.2,11.4,3.1,1.5,39945.0,5063
2019,57.6,8.6,2.2,0.9,39135.0,5065
2019,57.2,6.1,0.4,0.8,32783.0,5067
2019,53.8,10.8,1.6,0.9,37630.0,5069
2019,59.5,10.0,8.3,1.1,35758.0,5071
2019,50.3,12.0,1.0,0.7,32500.0,5073
2019,59.7,10.5,0.8,0.4,37603.0,5075
2019,45.3,5.7,0.5,0.3,27901.0,5077
2019,56.1,5.6,2.1,0.0,38873.0,5079
2019,61.4,7.4,0.8,0.2,36963.0,5081
2019,66.1,8.7,2.0,1.1,37982.0,5083
2019,74.5,14.4,2.1,2.1,57290.0,5085
2019,58.7,7.3,3.3,2.1,42894.0,5087
2019,70.1,10.2,1.2,1.7,36113.0,5089
2019,70.5,10.8,1.2,1.5,41862.0,5091
2019,60.8,8.0,2.0,3.3,36417.0,5093
2019,47.3,7.3,0.8,0.0,31584.0,5095
2019,56.6,7.6,2.7,0.6,35252.0,5097
2019,46.7,11.5,1.4,0.0,36995.0,5099
2019,54.7,10.0,1.0,3.5,38134.0,5101
2019,53.3,9.2,0.8,1.8,32136.0,5103
2019,62.0,9.6,0.6,3.0,46168.0,5105
2019,55.9,6.9,0.5,0.6,26652.0,5107
2019,57.9,8.0,4.3,0.0,36893.0,5109
2019,64.7,7.1,0.7,1.1,37487.0,5111
2019,59.6,7.9,4.0,0.2,33870.0,5113
2019,67.8,14.6,5.2,0.9,40668.0,5115
2019,48.8,10.0,0.1,0.9,41244.0,5117
2019,73.0,20.9,5.4,3.6,48850.0,5119
2019,62.2,9.7,0.9,1.0,35930.0,5121
2019,48.3,5.4,1.5,1.4,33102.0,5123
2019,77.4,16.4,2.9,2.9,58985.0,5125
2019,53.2,5.2,3.6,0.7,37396.0,5127
2019,52.5,7.3,1.0,0.0,36716.0,5129
2019,68.7,13.1,9.2,1.6,40932.0,5131
2019,65.7,6.6,16.7,0.9,43675.0,5133
