iter	Passed	Remaining
0	202	242320
1	255	152946
2	311	124206
3	366	109546
4	419	100286
5	474	94432
6	531	90665
7	585	87233
8	635	84104
9	690	82133
10	743	80410
11	798	79057
12	849	77573
13	900	76250
14	948	74921
15	998	73904
16	1048	72971
17	1099	72226
18	1152	71606
19	1203	71020
20	1254	70438
21	1307	70018
22	1359	69594
23	1411	69146
24	1460	68627
25	1512	68278
26	1564	67955
27	1617	67710
28	1668	67381
29	1723	67201
30	1773	66885
31	1827	66687
32	1879	66456
33	1932	66278
34	1984	66067
35	2037	65883
36	2089	65689
37	2140	65463
38	2194	65326
39	2249	65242
40	2299	65009
41	2353	64884
42	2402	64638
43	2452	64438
44	2503	64266
45	2555	64105
46	2608	63988
47	2657	63784
48	2709	63656
49	2757	63417
50	2807	63258
51	2860	63146
52	2909	62966
53	2961	62839
54	3013	62730
55	3062	62555
56	3113	62424
57	3165	62318
58	3218	62232
59	3269	62118
60	3322	62034
61	3377	61991
62	3428	61873
63	3479	61768
64	3530	61645
65	3581	61543
66	3632	61431
67	3681	61283
68	3730	61148
69	3781	61043
70	3832	60946
71	3889	60938
72	3938	60806
73	3990	60727
74	4043	60645
75	4091	60504
76	4143	60430
77	4192	60309
78	4244	60231
79	4300	60205
80	4355	60168
81	4407	60096
82	4460	60021
83	4514	59983
84	4561	59836
85	4611	59729
86	4661	59629
87	4711	59533
88	4759	59408
89	4805	59270
90	4855	59173
91	4903	59055
92	4955	58980
93	5006	58902
94	5058	58839
95	5106	58719
96	5158	58654
97	5205	58534
98	5258	58479
99	5308	58395
100	5357	58300
101	5406	58202
102	5458	58140
103	5513	58106
104	5567	58060
105	5621	58017
106	5676	57984
107	5730	57946
108	5781	57863
109	5838	57850
110	5890	57787
111	5943	57739
112	5994	57665
113	6048	57615
114	6103	57587
115	6167	57632
116	6221	57585
117	6278	57569
118	6334	57544
119	6388	57497
120	6440	57428
121	6494	57386
122	6548	57343
123	6597	57252
124	6650	57191
125	6702	57129
126	6754	57063
127	6805	56992
128	6854	56909
129	6907	56852
130	6956	56770
131	7007	56695
132	7054	56598
133	7102	56503
134	7150	56411
135	7201	56342
136	7250	56259
137	7300	56178
138	7346	56078
139	7393	55980
140	7440	55885
141	7489	55803
142	7541	55741
143	7593	55688
144	7646	55632
145	7697	55566
146	7751	55529
147	7801	55451
148	7856	55418
149	7905	55341
150	7956	55274
151	8012	55244
152	8067	55205
153	8120	55154
154	8169	55075
155	8217	54997
156	8270	54944
157	8328	54928
158	8383	54887
159	8435	54831
160	8491	54798
161	8543	54740
162	8595	54683
163	8645	54616
164	8699	54571
165	8749	54502
166	8802	54451
167	8851	54370
168	8902	54308
169	8955	54257
170	9004	54182
171	9058	54138
172	9110	54083
173	9159	54009
174	9213	53962
175	9262	53892
176	9315	53842
177	9367	53785
178	9418	53721
179	9466	53642
180	9517	53579
181	9568	53518
182	9620	53464
183	9669	53390
184	9720	53331
185	9774	53285
186	9825	53228
187	9883	53202
188	9938	53164
189	9988	53095
190	10042	53053
191	10095	53003
192	10148	52951
193	10199	52892
194	10251	52834
195	10298	52754
196	10355	52722
197	10408	52672
198	10463	52631
199	10515	52577
200	10564	52509
201	10612	52433
202	10662	52365
203	10712	52301
204	10762	52236
205	10812	52171
206	10863	52113
207	10913	52049
208	10960	51969
209	11008	51895
210	11056	51822
211	11105	51756
212	11157	51700
213	11209	51646
214	11257	51577
215	11310	51526
216	11361	51468
217	11412	51410
218	11461	51342
219	11514	51290
220	11568	51245
221	11622	51203
222	11674	51149
223	11723	51082
224	11778	51038
225	11826	50968
226	11875	50904
227	11931	50866
228	11985	50821
229	12040	50779
230	12094	50735
231	12148	50690
232	12204	50652
233	12256	50596
234	12313	50565
235	12366	50514
236	12415	50447
237	12464	50382
238	12513	50317
239	12563	50254
240	12612	50186
241	12660	50119
242	12705	50039
243	12756	49980
244	12801	49901
245	12850	49836
246	12900	49775
247	12947	49700
248	12996	49638
249	13042	49561
250	13088	49487
251	13139	49428
252	13185	49354
253	13235	49295
254	13284	49231
255	13335	49174
256	13384	49111
257	13434	49050
258	13478	48970
259	13528	48912
260	13577	48846
261	13625	48780
262	13674	48717
263	13720	48644
264	13770	48587
265	13818	48520
266	13868	48463
267	13915	48393
268	13966	48336
269	14012	48266
270	14062	48205
271	14108	48135
272	14158	48076
273	14204	48005
274	14254	47946
275	14306	47896
276	14355	47834
277	14408	47786
278	14453	47713
279	14499	47642
280	14545	47571
281	14591	47500
282	14641	47444
283	14688	47375
284	14733	47302
285	14782	47242
286	14830	47178
287	14879	47119
288	14928	47059
289	14974	46987
290	15022	46925
